date,region,new_cases,new_deaths
2020-02-15,세종,0,0
2020-02-15,울산,0,0
2020-02-15,인천,0,0
2020-02-15,전남,0,0
2020-02-15,전북,0,0
2020-02-15,제주,0,0
2020-02-15,충남,0,0
2020-02-15,충북,0,0
2020-02-16,강원,0,0
2020-02-16,검역,0,0
2020-02-16,경기,0,0
2020-02-16,경남,0,0
2020-02-16,경북,0,0
2020-02-16,계(명),2,0
2020-02-16,광주,0,0
2020-02-16,대구,0,0
2020-02-16,대전,0,0
2020-02-16,부산,0,0
2020-02-16,서울,2,0
2020-02-16,세종,0,0
2020-02-16,울산,0,0
2020-02-16,인천,0,0
2020-02-16,전남,0,0
2020-02-16,전북,0,0
2020-02-16,제주,0,0
2020-02-16,충남,0,0
2020-02-16,충북,0,0
2020-02-17,강원,0,0
2020-02-17,검역,0,0
2020-02-17,경기,0,0
2020-02-17,경남,0,0
2020-02-17,경북,0,0
2020-02-17,계(명),0,0
2020-02-17,광주,0,0
2020-02-17,대구,0,0
2020-02-17,대전,0,0
2020-02-17,부산,0,0
2020-02-17,서울,0,0
2020-02-17,세종,0,0
2020-02-17,울산,0,0
2020-02-17,인천,0,0
2020-02-17,전남,0,0
2020-02-17,전북,0,0
2020-02-17,제주,0,0
2020-02-17,충남,0,0
2020-02-17,충북,0,0
2020-02-18,강원,0,0
2020-02-18,검역,0,0
2020-02-18,경기,1,0
2020-02-18,경남,0,0
2020-02-18,경북,0,0
2020-02-18,계(명),2,0
2020-02-18,광주,0,0
2020-02-18,대구,1,0
2020-02-18,대전,0,0
2020-02-18,부산,0,0
2020-02-18,서울,0,0
2020-02-18,세종,0,0
2020-02-18,울산,0,0
2020-02-18,인천,0,0
2020-02-18,전남,0,0
2020-02-18,전북,0,0
2020-02-18,제주,0,0
2020-02-18,충남,0,0
2020-02-18,충북,0,0
2020-02-19,강원,0,0
2020-02-19,검역,0,0
2020-02-19,경기,0,0
2020-02-19,경남,0,0
2020-02-19,경북,5,0
2020-02-19,계(명),34,0
2020-02-19,광주,0,0
2020-02-19,대구,27,0
2020-02-19,대전,0,0
2020-02-19,부산,0,0
2020-02-19,서울,2,0
2020-02-19,세종,0,0
2020-02-19,울산,0,0
2020-02-19,인천,0,0
2020-02-19,전남,0,0
2020-02-19,전북,0,0
2020-02-19,제주,0,0
2020-02-19,충남,0,0
2020-02-19,충북,0,0
2020-02-20,강원,0,0
2020-02-20,검역,0,0
2020-02-20,경기,0,0
2020-02-20,경남,0,0
2020-02-20,경북,4,1
2020-02-20,계(명),16,1
2020-02-20,광주,0,0
2020-02-20,대구,12,0
2020-02-20,대전,0,0
2020-02-20,부산,0,0
2020-02-20,서울,0,0
2020-02-20,세종,0,0
2020-02-20,울산,0,0
2020-02-20,인천,0,0
2020-02-20,전남,0,0
2020-02-20,전북,0,0
2020-02-20,제주,0,0
2020-02-20,충남,0,0
2020-02-20,충북,0,0
2020-02-21,강원,0,0
2020-02-21,검역,0,0
2020-02-21,경기,1,0
2020-02-21,경남,2,0
2020-02-21,경북,17,0
2020-02-21,계(명),74,0
2020-02-21,광주,1,0
2020-02-21,대구,44,0
2020-02-21,대전,0,0
2020-02-21,부산,0,0
2020-02-21,서울,5,0
2020-02-21,세종,0,0
2020-02-21,울산,0,0
2020-02-21,인천,0,0
2020-02-21,전남,0,0
2020-02-21,전북,1,0
2020-02-21,제주,1,0
2020-02-21,충남,1,0
2020-02-21,충북,1,0
2020-02-22,강원,0,0
2020-02-22,검역,0,0
2020-02-22,경기,2,0
2020-02-22,경남,2,0
2020-02-22,경북,106,2
2020-02-22,계(명),190,2
2020-02-22,광주,3,0
2020-02-22,대구,67,0
2020-02-22,대전,1,0
2020-02-22,부산,2,0
2020-02-22,서울,2,0
2020-02-22,세종,1,0
2020-02-22,울산,0,0
2020-02-22,인천,0,0
2020-02-22,전남,0,0
2020-02-22,전북,1,0
2020-02-22,제주,1,0
2020-02-22,충남,0,0
2020-02-22,충북,2,0
2020-02-23,강원,6,0
2020-02-23,검역,0,0
2020-02-23,경기,8,0
2020-02-23,경남,7,0
2020-02-23,경북,39,0
2020-02-23,계(명),210,0
2020-02-23,광주,1,0
2020-02-23,대구,136,0
2020-02-23,대전,1,0
2020-02-23,부산,7,0
2020-02-23,서울,3,0
2020-02-23,세종,0,0
2020-02-23,울산,1,0
2020-02-23,인천,1,0
2020-02-23,전남,0,0
2020-02-23,전북,0,0
2020-02-23,제주,0,0
2020-02-23,충남,0,0
2020-02-23,충북,0,0
2020-02-24,강원,0,0
2020-02-24,검역,0,0
2020-02-24,경기,12,0
2020-02-24,경남,9,0
2020-02-24,경북,19,3
2020-02-24,계(명),207,4
2020-02-24,광주,2,0
2020-02-24,대구,152,1
2020-02-24,대전,1,0
2020-02-24,부산,8,0
2020-02-24,서울,4,0
2020-02-24,세종,0,0
2020-02-24,울산,0,0
2020-02-24,인천,0,0
2020-02-24,전남,0,0
2020-02-24,전북,0,0
2020-02-24,제주,0,0
2020-02-24,충남,0,0
2020-02-24,충북,0,0
2020-02-25,강원,0,0
2020-02-25,검역,0,0
2020-02-25,경기,5,0
2020-02-25,경남,1,0
2020-02-25,경북,44,0
2020-02-25,계(명),130,1
2020-02-25,광주,0,0
2020-02-25,대구,54,1
2020-02-25,대전,0,0
