sido,sigungu,monthly_cases,date
대구,서구,538,2020-03-01
대구,수성구,630,2020-03-01
대구,중구,161,2020-03-01
대구,합계,4629,2020-03-01
대전,대덕구,0,2020-03-01
대전,동구,1,2020-03-01
대전,서구,11,2020-03-01
대전,유성구,10,2020-03-01
대전,중구,1,2020-03-01
대전,합계,23,2020-03-01
부산,강서구,0,2020-03-01
부산,금정구,1,2020-03-01
부산,기장군,1,2020-03-01
부산,남구,1,2020-03-01
부산,동구,3,2020-03-01
부산,동래구,7,2020-03-01
부산,부산진구,8,2020-03-01
부산,북구,2,2020-03-01
부산,사상구,1,2020-03-01
부산,사하구,4,2020-03-01
부산,서구,2,2020-03-01
부산,수영구,3,2020-03-01
부산,연제구,3,2020-03-01
부산,영도구,0,2020-03-01
부산,중구,0,2020-03-01
부산,합계,44,2020-03-01
부산,해운대구,8,2020-03-01
서울,강남구,32,2020-03-01
서울,강동구,4,2020-03-01
서울,강북구,5,2020-03-01
서울,강서구,18,2020-03-01
서울,관악구,24,2020-03-01
서울,광진구,7,2020-03-01
서울,구로구,53,2020-03-01
서울,금천구,9,2020-03-01
서울,노원구,15,2020-03-01
서울,도봉구,6,2020-03-01
서울,동대문구,29,2020-03-01
서울,동작구,21,2020-03-01
서울,마포구,11,2020-03-01
서울,서대문구,18,2020-03-01
서울,서초구,20,2020-03-01
서울,성동구,4,2020-03-01
서울,성북구,10,2020-03-01
서울,송파구,14,2020-03-01
서울,양천구,15,2020-03-01
서울,영등포구,16,2020-03-01
서울,용산구,13,2020-03-01
서울,은평구,13,2020-03-01
서울,종로구,3,2020-03-01
서울,중구,4,2020-03-01
서울,중랑구,12,2020-03-01
서울,합계,376,2020-03-01
세종,세종,45,2020-03-01
세종,합계,45,2020-03-01
울산,남구,6,2020-03-01
울산,동구,4,2020-03-01
울산,북구,6,2020-03-01
울산,울주군,1,2020-03-01
울산,중구,5,2020-03-01
울산,합계,22,2020-03-01
인천,강화군,0,2020-03-01
인천,계양구,5,2020-03-01
인천,남동구,5,2020-03-01
인천,동구,6,2020-03-01
인천,미추홀구,7,2020-03-01
인천,부평구,11,2020-03-01
인천,서구,3,2020-03-01
인천,연수구,13,2020-03-01
인천,옹진군,0,2020-03-01
인천,중구,8,2020-03-01
인천,합계,58,2020-03-01
전남,강진군,0,2020-03-01
전남,고흥군,0,2020-03-01
전남,곡성군,0,2020-03-01
전남,광양시,1,2020-03-01
