date,vax1_rate,vax2_rate,vax3_rate,fatality_rate_7d
2021-09-04,56.88050031021235,33.74252901032266,0.001764129323381135,0.30918358820088576
2021-09-05,56.893605830941375,33.75609320467577,0.0017837307603075921,0.33789491468153404
2021-09-06,58.26808603023623,34.97413237571689,0.0018484155021649001,0.34959072305593447
2021-09-07,59.315257515445744,35.77706015610428,0.0019287813935633742,0.3596520575443292
2021-09-08,60.010767461332435,36.35832116672144,0.0020189480034250766,0.3339176892895901
2021-09-09,60.828623696083014,36.91273800946781,0.002089513176360322,0.31488233344381833
2021-09-10,62.035246990258166,37.71147108235293,0.0021737993551440874,0.31831537708129287
2021-09-11,62.62638712508626,38.11094248648305,0.002230643522230813,0.34922439697880286
2021-09-12,62.66124044008519,38.15577685316493,0.002252205102849916,0.3021148036253776
2021-09-13,64.20398133410046,38.95821459762915,0.0023247304194778068,0.26115859449192785
2021-09-14,65.30752263162306,39.37791860495476,0.0024325383225733206,0.2951970639859582
2021-09-15,65.98717305489257,40.20531485905743,0.0025325056508982515,0.35816618911174786
2021-09-16,66.77965522954185,40.79501036798405,0.002608951254911434,0.3371598298145621
2021-09-17,67.9862765635733,41.635592508707155,0.0026716758530760964,0.3181673560292714
2021-09-18,68.69804982167788,41.996766625370356,0.0027187193016995938,0.2735443532629933
2021-09-19,68.73510437804367,42.04645822812262,0.0027383207386260508,0.3397945787319484
2021-09-20,68.79032750629656,42.07422562367264,0.0027932047620201302,0.3658815458495312
2021-09-21,68.80290966865967,42.083544146787474,0.0028441684980289187,0.33700292069197935
2021-09-22,68.85276592348211,42.115282793458796,0.0029245343894273926,0.30009233610341646
2021-09-23,69.85533237882177,42.834226257191084,0.0030264618614449694,0.32106499608457323
2021-09-24,70.97847707341451,43.625016827833605,0.003104867609150798,0.3335354760460885
2021-09-25,71.54654631698017,44.037636875853984,0.0031715124947007517,0.3200445279343213
2021-09-26,71.59283118999461,44.08096193189253,0.0032087552248610198,0.29545006893834946
2021-09-27,72.34923299969336,45.42466395492548,0.003310682696878597,0.28735632183908044
2021-09-28,72.81347931229064,46.729314035169836,0.00341849059997411,0.3018230109863576
2021-09-29,73.22512320875208,47.72035484559674,0.0035890231012342864,0.3046200710780166
2021-09-30,73.85671090867793,48.74816991184136,0.0037497548840312346,0.28537583458970495
2021-10-01,74.27556029335354,50.37635542956275,0.003918327241598765,0.3382368731880167
2021-10-02,74.49336165976187,51.139933325320264,0.003990852558226656,0.35785288270377735
2021-10-03,74.49945770664598,51.201021203501575,0.00405749744377661,0.3368396170665406
2021-10-04,74.54548188054932,51.59623125524387,0.004208428508110329,0.3515914137675796
2021-10-05,74.62186868025171,53.02239064299534,0.004361319716136695,0.38712174979030906
